,Coin,Pair_tuple,Exchange
324,IOTX,BTC,Binance
325,IPC,USDT,Okex
326,ING,BTC,Kucoin
327,IVY,BTC,Hitbtc
328,IXT,BTC,Hitbtc
329,J8T,BTC,Kucoin
330,JNT,BTC,Kucoin
331,JOT,BTC,Hitbtc
332,KBC,BTC,Hitbtc
333,KRM,USDT,Hitbtc
334,KCASH,USDT,Okex
335,KICK,BTC,Kucoin
336,KIND,BTC,Hitbtc
337,KMD,BTC,Binance
338,KORE,BTC,Bittrex
339,KBR,BTC,Hitbtc
340,KCS,BTC,Kucoin
341,KNC,BTC,Binance
342,LALA,BTC,Kucoin
343,TAU,BTC,Hitbtc
344,PIX,BTC,Hitbtc
