,Pair,Exchange
0,ACT/USDT,Okex
1,ABL/BTC,Okex
2,ARCT/USDT,Hitbtc
3,XAS/USDT,Okex
4,CAT/BTC,Kucoin
5,BCX/BTC,Okex
6,KAN/USDT,Okex
7,BSD/BTC,Bittrex
8,BITS/BTC,Bittrex
9,XBP/BTC,Hitbtc
10,BOXX/BTC,Bittrex
11,TOLL/BTC,Hitbtc
12,BU/BTC,Kucoin
13,BTM/USDT,Okex
14,CIT/BTC,Okex
15,CENNZ/BTC,Hitbtc
16,CSM/BTC,Hitbtc
17,CAN/BTC,Okex
18,COSM/BTC,Kucoin
19,CPC/BTC,Kucoin
20,LBA/USDT,Okex
21,CS/BTC,Kucoin
22,CMCT/BTC,Bittrex
23,CRPT/BTC,Kucoin
24,CMT/BTC,Binance
25,CVT/USDT,Okex
26,CCL/USDT,Hitbtc
27,DAV/BTC,Hitbtc
28,DAXT/BTC,Hitbtc
29,DIT/BTC,Hitbtc
30,DPN/BTC,Hitbtc
31,DCC/USDT,Kucoin
32,DWS/BTC,Hitbtc
33,EDN/BTC,Kucoin
34,EGT/USDT,Okex
35,EJOY/BTC,Hitbtc
36,EDR/BTC,Bittrex
37,ENGT/BTC,Hitbtc
38,BQX/BTC,Binance
39,IQX/USD,Bitfinex
40,FAIR/USDT,Okex
41,GO/BTC,Binance
42,HPB/USDT,Okex
43,HIT/BTC,Okex
44,HOT/BTC,Binance
45,HYC/USDT,Okex
46,HC/BTC,Binance
47,IHT/BTC,Bittrex
48,IOTA/USDT,Binance
49,IPC/USDT,Okex
50,JOT/BTC,Hitbtc
51,KRM/USDT,Hitbtc
52,KIND/BTC,Hitbtc
53,LNC/BTC,Hitbtc
54,LET/USDT,Okex
55,LWF/BTC,Hitbtc
56,LOC/BTC,Hitbtc
57,MAG/USDT,Okex
58,MXM/BTC,Hitbtc
59,MDT/USDT,Okex
60,MTN/BTC,Kucoin
61,MET/BTC,Bittrex
62,MNX/BTC,Hitbtc
63,EMGO/BTC,Hitbtc
64,MORE/BTC,Bittrex
65,NANJ/BTC,Hitbtc
66,NIM/BTC,Hitbtc
67,ORS/BTC,Okex
68,GOT/USD,Bitfinex
69,PAX/BTC,Binance
70,SOUL/BTC,Kucoin
71,IOG/BTC,Kucoin
72,POLY/BTC,Binance
73,PRE/BTC,Hitbtc
74,PROC/BTC,Hitbtc
75,PAI/BTC,Bitfinex
76,QNTU/BTC,Hitbtc
77,RDN/BTC,Binance
78,HAND/USDT,Hitbtc
79,SDA/BTC,Okex
80,SMT/BTC,Hitbtc
81,SSP/BTC,Okex
82,SPC/USDT,Hitbtc
83,SPD/BTC,Hitbtc
84,EURS/USDT,Hitbtc
85,SBD/BTC,Bittrex
86,TTU/BTC,Hitbtc
87,TCN/BTC,Hitbtc
88,USDT/USD,Bitfinex
89,GET/BTC,Hitbtc
90,TDS/USDT,Hitbtc
91,TKA/USDT,Hitbtc
92,UT/BTC,Kucoin
93,USE/BTC,Kucoin
94,VITE/BTC,Okex
95,WIKI/USDT,Hitbtc
96,WIN/USDT,Okex
97,YOU/BTC,Okex
98,YOYO/BTC,Binance
99,YCC/BTC,Hitbtc
100,ZCO/BTC,Okex
