,Coin,Pair_tuple,Exchange
200,EDN,BTC,Kucoin
201,EDG,BTC,Hitbtc
202,EGT,BTC,Kucoin
203,EDO,BTC,Binance
204,EMC2,BTC,Bittrex
205,EJOY,BTC,Hitbtc
206,XEL,BTC,Bittrex
207,ELA,BTC,Kucoin
208,ELEC,BTC,Kucoin
209,ETN,BTC,Kucoin
210,ELE,BTC,Hitbtc
211,ELIX,BTC,Kucoin
212,EMC,BTC,Hitbtc
213,DNA,BTC,Okex
214,EDR,BTC,Bittrex
215,ENRG,BTC,Bittrex
216,ENGT,BTC,Hitbtc
217,ENG,BTC,Binance
218,ENJ,BTC,Binance
219,EOS,BTC,Binance
220,ERO,BTC,Hitbtc
221,ETBS,BTC,Hitbtc
222,ECH,BTC,Hitbtc
223,ETH,BTC,Hitbtc
224,ETC,BTC,Okex
225,DICE,BTC,Hitbtc
226,FUEL,BTC,Binance
227,LEND,BTC,Binance
228,BQX,BTC,Binance
229,ERC,BTC,Bittrex
230,EVX,BTC,Binance
231,EGC,BTC,Bittrex
232,IQX,BTC,Bitfinex
233,XUC,BTC,Okex
234,EXN,BTC,Hitbtc
235,EXCL,BTC,Bittrex
236,EXP,BTC,Bittrex
237,EXY,BTC,Kucoin
238,FACE,BTC,Hitbtc
239,FCT,BTC,Poloniex
240,FAIR,BTC,Okex
241,FCN,BTC,Hitbtc
242,FTC,BTC,Bittrex
243,FTX,BTC,Hitbtc
244,1ST,BTC,Okex
245,FLP,BTC,Hitbtc
246,FLIXX,BTC,Kucoin
247,FLO,BTC,Bittrex
248,FYP,BTC,Hitbtc
249,FLDC,BTC,Bittrex
250,FOTA,BTC,Kucoin
251,FREC,BTC,Hitbtc
252,FDZ,BTC,Hitbtc
253,NTO,BTC,Hitbtc
254,FUN,BTC,Binance
255,FXT,BTC,Hitbtc
256,GAM,BTC,Bittrex
257,GAME,BTC,Bittrex
258,GAS,BTC,Binance
259,GAT,BTC,Kucoin
260,GNX,BTC,Okex
261,GVT,BTC,Binance
262,GEO,BTC,Bittrex
263,GTO,BTC,Okex
264,GLA,BTC,Kucoin
265,GSC,BTC,Okex
266,GNO,BTC,Bittrex
267,GBX,BTC,Hitbtc
268,GO,BTC,Binance
269,GLD,BTC,Bittrex
270,GNT,BTC,Binance
271,GOLOS,BTC,Bittrex
272,GBG,BTC,Bittrex
273,GRMD,BTC,Hitbtc
274,GRC,BTC,Bittrex
275,GRS,BTC,Binance
276,NLG,BTC,Bittrex
277,GXS,BTC,Binance
278,HKN,BTC,Kucoin
279,HAC,BTC,Hitbtc
280,HPC,BTC,Hitbtc
281,HAV,BTC,Kucoin
282,HBZ,BTC,Hitbtc
283,THC,BTC,Bittrex
284,HERO,BTC,Hitbtc
285,PLAY,BTC,Kucoin
286,HMC,BTC,Okex
287,HPB,BTC,Okex
288,HIRE,BTC,Hitbtc
289,HIT,BTC,Okex
290,HVN,BTC,Hitbtc
291,HOT,BTC,Binance
292,ZEN,BTC,Binance
293,HTML,BTC,Hitbtc
294,HMQ,BTC,Bittrex
295,HUC,BTC,Poloniex
296,HYC,BTC,Okex
297,HYDRO,BTC,Bittrex
298,HOT,BTC,Okex
299,HC,BTC,Binance
300,IOC,BTC,Bittrex
301,ICX,BTC,Binance
302,ICN,BTC,Binance
303,ICOS,BTC,Hitbtc
304,RLC,BTC,Binance
305,IGNIS,BTC,Bittrex
306,IHT,BTC,Bittrex
307,REX,BTC,Hitbtc
308,INCNT,BTC,Bittrex
309,IDH,BTC,Hitbtc
310,INDI,BTC,Hitbtc
311,INK,BTC,Hitbtc
